ANNO;CODICE_MESE;NOME_MESE;CODICE_PRODOTTO;NOME_PRODOTTO;PREZZO;IVA;ACCISA;NETTO
1996;1;Gennaio;1;Benzina;904,18;144,37;525,77;234,05
1996;1;Gennaio;2;Diesel;728,52;116,32;386,04;226,17
1996;1;Gennaio;3;Gasolio riscaldamento;695,47;111,04;386,04;198,39
1996;1;Gennaio;5;GPL;0,00;0,00;0,00;0,00
1996;1;Gennaio;6;O.C. fluido BTZ;382,44;61,06;158,05;163,34
1996;1;Gennaio;7;O.C. ATZ;153,77;0,00;46,48;107,29
1996;1;Gennaio;8;O.C. denso BTZ;149,74;0,00;23,24;126,50
1996;2;Febbraio;1;Benzina;907,09;144,83;527,96;234,30
1996;2;Febbraio;2;Diesel;725,89;115,90;386,04;223,95
1996;2;Febbraio;3;Gasolio riscaldamento;692,82;110,62;386,04;196,16
1996;2;Febbraio;5;GPL;0,00;0,00;0,00;0,00
1996;2;Febbraio;6;O.C. fluido BTZ;385,29;61,52;158,05;165,73
1996;2;Febbraio;7;O.C. ATZ;151,67;0,00;46,48;105,19
1996;2;Febbraio;8;O.C. denso BTZ;147,93;0,00;23,24;124,69
1996;3;Marzo;1;Benzina;917,83;146,54;527,96;243,32
1996;3;Marzo;2;Diesel;734,14;117,21;386,04;230,89
1996;3;Marzo;3;Gasolio riscaldamento;698,77;111,57;386,04;201,16
1996;3;Marzo;5;GPL;0,00;0,00;0,00;0,00
1996;3;Marzo;6;O.C. fluido BTZ;388,33;62,00;158,05;168,28
1996;3;Marzo;7;O.C. ATZ;153,33;0,00;46,48;106,85
1996;3;Marzo;8;O.C. denso BTZ;148,88;0,00;23,24;125,64
1996;4;Aprile;1;Benzina;931,48;148,72;527,96;254,79
1996;4;Aprile;2;Diesel;744,82;118,92;386,04;239,86
1996;4;Aprile;3;Gasolio riscaldamento;709,25;113,24;386,04;209,97
1996;4;Aprile;5;GPL;0,00;0,00;0,00;0,00
1996;4;Aprile;6;O.C. fluido BTZ;394,71;63,02;143,03;188,66
1996;4;Aprile;7;O.C. ATZ;156,05;0,00;46,48;109,57
1996;4;Aprile;8;O.C. denso BTZ;154,23;0,00;23,24;130,99
